Time 1.1-M-Pu-Total 1.1-M-Pu9 1.2-M-Pu-Total 1.2-M-Pu8 1.2-M-Pu9 1.2-M-Pu10 1.2-M-Pu11 1.2-M-Pu12 1.3-M-Pu-Total 1.3-M-Pu8 1.3-M-Pu9 1.3-M-Pu10 1.3-M-Pu11 1.3-M-Pu12 
17.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2008008556160795 0.0004091815690717823 0.9659524318543765 0.033089604621422034 0.0005111507005900961 3.763125453958493e-05 
18.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20078330047726137 0.0004043945276225412 0.9659953897552462 0.03308725942058231 0.00047532184986907915 3.763444667989353e-05 
20.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2007662624498698 0.0003996624631514566 0.9660358673508581 0.03308482937494943 0.0004420032686591944 3.763754238184123e-05 
21.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20074970652537677 0.0003949848263127995 0.9660740350434811 0.033082320349194075 0.00041101923273897327 3.764054827301891e-05 
23.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2007335989851621 0.0003903610665077585 0.9661100513656414 0.03307973779886643 0.00038220629846484665 3.764347051959611e-05 
24.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2007179096280163 0.0003857906325190086 0.9661440638064016 0.03307708679891991 0.00035541244730101826 3.7646314858424027e-05 
26.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20070260920565208 0.00038127297308804655 0.9661762095804591 0.03307437207025793 0.0003304962895680317 3.7649086626918575e-05 
27.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20068767167348128 0.00037680753743993896 0.9662066163439691 0.03307159800443874 0.0003073263233613595 3.765179079087409e-05 
29.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2006730716485018 0.00037239377575975895 0.9662354028607436 0.03306876868666507 0.0002857802448612525 3.765443197035048e-05 
30.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20065878668016335 0.0003680311396246534 0.9662626796222278 0.03306588791717593 0.00026574430650792846 3.7657014463764735e-05 
32.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20064479472763241 0.0003637190823951612 0.9662885494244307 0.03306295923115103 0.0002471127197529454 3.7659542270311174e-05 
33.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20063107644799444 0.0003594570595691218 0.9663131079047711 0.03305998591722991 0.0002297870993191598 3.766201911082425e-05 
35.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20061761269030473 0.0003552445291012447 0.966336444041601 0.033056971034741645 0.0002136759461089307 3.766444844719231e-05 
36.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20060438679874595 0.0003510809516911635 0.9663586406189804 0.0330539174297341 0.00019869416609400014 3.7666833500421075e-05 
38.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2005913821212251 0.00034696579104257343 0.9663797746591027 0.033050827749885776 0.00018476262270159088 3.766917726744104e-05 
39.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2005785843254287 0.00034289851409584495 0.9663999178246093 0.03304770445837761 0.0001718077203804553 3.7671482536744664e-05 
41.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20056597892002792 0.0003388785912363112 0.966419136792875 0.03304454984679695 0.0001597610171886363 3.7673751902935215e-05 
42.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20055355358185226 0.00033490549648025234 0.9664374936042065 0.033041366047140634 0.00014855886439222533 3.767598778026174e-05 
44.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2005412956880282 0.00033097870764043464 0.9664550459857624 0.03303815504297993 0.0001381420712021132 3.7678192415211125e-05 
45.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2005291946527334 0.00032709770647291764 0.9664718476528793 0.03303491867984542 0.00012845559290421152 3.768036789822198e-05 
47.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20051723946882002 0.0003232619788066986 0.9664879485893739 0.03303165867488629 0.00011944824075849508 3.768251617458206e-05 
48.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20050542105281974 0.00031947101465764174 0.9665033953082796 0.033028376625854186 0.00011107241215400023 3.7684639054565065e-05 
50.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2004937297948004 0.00031572430832801777 0.966518231094379 0.03302507401945912 0.00010328383961116374 3.768673822286042e-05 
51.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20048215791047153 0.00031202135849287823 0.9665324962297991 0.033021752239140646 9.604135732005962e-05 3.7688815247344556e-05 
53.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2004706969981916 0.00030836166827438434 0.9665462282038491 0.03301841257229561 8.930668399368118e-05 3.769087158724022e-05 
54.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20045934039718022 0.00030474474530512276 0.9665594619081943 0.03301505621699995 8.304422089982413e-05 3.7692908600705536e-05 
56.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20044808075074047 0.0003011701017813552 0.9665722298183929 0.03301168428826016 7.722086401379234e-05 3.7694927551893415e-05 
57.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2004369123697181 0.00029763725450707287 0.9665845621627411 0.03300829782382692 7.180582930742305e-05 3.769692961751741e-05 
59.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20042582880112933 0.0002941457249296542 0.9665964870793171 0.03300489778960199 6.677049025819916e-05 3.7698915892959216e-05 
60.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20041482519612483 0.00029069503916786366 0.9666080307620424 0.03300148508466605 6.208822672579075e-05 3.770088739794886e-05 
62.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20040389588332252 0.0002872847280328616 0.9666192175965278 0.032998060545954805 5.7734284402588495e-05 3.7702845081848405e-05 
63.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20039303674063474 0.00028391432704284974 0.9666300702864216 0.032994624952607195 5.368564409992417e-05 3.7704789828565733e-05 
65.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20038224277270109 0.0002805833764319178 0.9666406099709146 0.032991179030009296 4.9920900183019824e-05 3.770672246112535e-05 
66.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20037151048602278 0.00027729142115361587 0.9666508563340304 0.03298772345355449 4.6420147515500127e-05 3.7708643745919146e-05 
68.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20036083546997285 0.00027403801087973043 0.9666608277062642 0.032984258852140694 4.3164876318805256e-05 3.7710554396660215e-05 
69.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20035021477475815 0.0002708226999947066 0.9666705411591123 0.03298078581142189 4.0137874393256895e-05 3.771245507805991e-05 
71.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2003396444955541 0.00026764504758611826 0.9666800125929862 0.03297730487683234 3.732313618608945e-05 3.771434640924801e-05 
72.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20032912215287893 0.00026450461743155975 0.9666892568189756 0.03297381655639844 3.470577822763654e-05 3.771622896695338e-05 
74.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20031864427946297 0.0002614009779822963 0.9666982876348852 0.03297032132335372 3.227196049026239e-05 3.771810328846239e-05 
75.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2003082088026759 0.00025833370234398855 0.9667071178959555 0.032966819618570384 3.0008813255702393e-05 3.771996987437012e-05 
77.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20029781263379187 0.00025530236825477585 0.966715759580628 0.03296331185282064 2.7904369105399107e-05 3.772182919113952e-05 
78.5 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2002874540521608 0.0002523065580609807 0.9667242238517111 0.03295979840887907 2.594749967532803e-05 3.772368167348089e-05 
79.83333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2002782756761715 0.0002496731041607241 0.9667316071353075 0.0329566708696606 2.4323567956107777e-05 3.772532291507943e-05 
79.91666666666667 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2002777029319914 0.00024950942783850066 0.9667320643677694 0.032956475264293086 2.4225514769013642e-05 3.772542533018943e-05 
80.0 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20027712999116987 0.00024934585869067693 0.9667325211132627 0.03295627964347826 2.4127856841848532e-05 3.7725527726565737e-05 
80.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20027655745164136 0.00024918239664757305 0.9667329773733957 0.03295608400727119 2.403059258137828e-05 3.772563010427087e-05 
81.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20026626858963686 0.00024625831560092464 0.9667411088550522 0.03295255998504476 2.2345374522055205e-05 3.7727469780143836e-05 
83.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20025601115825256 0.0002433685105518845 0.9667490925509343 0.032949031300435 2.0778334303446403e-05 3.772930377542512e-05 
84.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20024578281358 0.00024051258224560524 0.9667569368590416 0.03294549824133547 1.9321184960302022e-05 3.7731132417182445e-05 
86.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20023558252740872 0.00023769013588417157 0.9667646496113036 0.03294196107621862 1.796622058316327e-05 3.773295601044245e-05 
87.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20022540818307155 0.00023490078109238575 0.9667722381129947 0.03293842005549018 1.670627558303866e-05 3.7734774839724976e-05 
89.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2002152589636467 0.00023214413188249935 0.9667797091793882 0.03293487541274782 1.5534686811003405e-05 3.773658917046926e-05 
90.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20020513294915537 0.00022941980661802356 0.9667870691698465 0.032931327365952445 1.444525833275033e-05 3.773839925036125e-05 
92.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20019502950555332 0.00022672742797673383 0.9667943240195239 0.03292777611851652 1.3432228672110718e-05 3.7740205310567126e-05 
93.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20018494688313004 0.000224066622912981 0.9668014792688525 0.03292422186031695 1.2490240350580007e-05 3.7742007566881474e-05 
95.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20017488460615046 0.0002214370226194044 0.9668085400909617 0.03292066476863617 1.161431156198736e-05 3.774380622079419e-05 
96.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20016484107232518 0.00021883826248814177 0.9668155113171806 0.032917105009037995 1.079980983270987e-05 3.774560146048364e-05 
98.08333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.2001548159429826 0.00021626998207161538 0.9668223974607568 0.032913542736181474 1.0042427528303964e-05 3.774739346173963e-05 
99.58333333333333 0.20109092678999999 1.0 0.2010490171810308 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.20014480774349638 0.0002137318250429734 0.9668292027389127 0.03290997809457826 9.338159077168834e-06 3.774918238882252e-05 
